time,visibility,air_temperature,dewpoint,wind_direction,wind_speed,air_pressure,cloud_height,cloud_cover,temp_dewpt_diff
2015-08-29 02:20:00,500,15.0,15.0,60.0,4.0,1022.0,100.0,BKN,0.0
2015-10-05 01:50:00,400,9.0,9.0,10.0,4.0,1016.0,100.0,SCT,0.0
2015-10-05 02:20:00,600,9.0,9.0,360.0,5.0,1016.0,100.0,SCT,0.0
2015-10-05 02:50:00,800,10.0,9.0,20.0,5.0,1016.0,100.0,SCT,1.0
2015-11-01 15:20:00,500,6.0,5.0,200.0,5.0,1031.0,100.0,OVC,1.0
2015-11-01 16:50:00,200,6.0,5.0,210.0,4.0,1031.0,,,1.0
2015-11-01 17:20:00,200,6.0,5.0,220.0,3.0,1031.0,,,1.0
2015-11-01 17:50:00,200,6.0,5.0,,2.0,1031.0,,,1.0
2015-11-01 18:20:00,150,6.0,5.0,240.0,3.0,1031.0,,,1.0
2015-11-01 18:50:00,100,6.0,5.0,,2.0,1031.0,,,1.0
2015-11-13 07:20:00,700,6.0,5.0,190.0,7.0,1025.0,100.0,OVC,1.0
2015-12-17 22:50:00,300,8.0,8.0,120.0,2.0,1023.0,300.0,FEW,0.0
2015-12-17 23:20:00,400,8.0,8.0,,1.0,1023.0,300.0,FEW,0.0
2015-12-17 23:50:00,800,8.0,7.0,,2.0,1022.0,300.0,FEW,1.0
2015-12-23 20:50:00,800,7.0,7.0,190.0,7.0,1029.0,100.0,BKN,0.0
2015-12-23 21:20:00,300,7.0,7.0,200.0,3.0,1029.0,,,0.0
2015-12-23 21:50:00,300,7.0,7.0,200.0,4.0,1029.0,,,0.0
2015-12-23 22:20:00,300,7.0,7.0,220.0,6.0,1029.0,,,0.0
2015-12-23 22:50:00,400,7.0,6.0,210.0,5.0,1029.0,,,1.0
2015-12-23 23:20:00,300,6.0,6.0,,2.0,1029.0,,,0.0
2015-12-23 23:50:00,300,6.0,6.0,,2.0,1028.0,,,0.0
2015-12-24 00:20:00,300,6.0,6.0,,2.0,1028.0,,,0.0
2015-12-24 00:50:00,300,6.0,6.0,,2.0,1028.0,,,0.0
2015-12-24 01:20:00,300,6.0,6.0,,1.0,1027.0,,,0.0
2015-12-24 01:50:00,400,6.0,6.0,20.0,2.0,1027.0,100.0,BKN,0.0
2015-12-24 02:50:00,800,7.0,7.0,80.0,4.0,1027.0,100.0,BKN,0.0
2015-12-24 03:20:00,300,7.0,7.0,80.0,3.0,1027.0,,,0.0
2015-12-24 03:50:00,400,7.0,7.0,50.0,2.0,1026.0,100.0,BKN,0.0
2015-12-24 04:20:00,800,7.0,6.0,350.0,3.0,1026.0,100.0,SCT,1.0
2015-12-24 04:50:00,700,6.0,6.0,,2.0,1026.0,100.0,SCT,0.0
2015-12-24 05:20:00,300,6.0,6.0,,1.0,1026.0,100.0,FEW,0.0
2015-12-24 06:20:00,700,6.0,6.0,,1.0,1025.0,600.0,SCT,0.0
